account_number,meter_id,service_address,billing_period_start,billing_period_end,usage_kwh,demand_kw,tariff_code,total_cost,currency
ACC-10001,METER-HQ-01,Munich Headquarters,2026-01-15,2026-02-14,4800.00,8.5,E-19,1020.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-01-15,2026-02-14,2400.00,4.2,E-19,510.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-01-18,2026-02-17,8900.00,15.8,E-20,1880.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-01-20,2026-02-19,15600.00,35.4,E-25,3200.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-02-15,2026-03-14,4200.00,,E-19,900.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-02-15,2026-03-14,2100.00,3.8,E-19,450.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-02-18,2026-03-17,7800.00,14.1,E-20,1650.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-02-20,2026-03-19,14100.00,,E-25,2900.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-03-15,2026-04-14,3900.00,7.1,E-19,830.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-03-15,2026-04-14,1950.00,3.5,E-19,420.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-03-18,2026-04-17,8200.00,14.8,E-20,1740.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-03-20,2026-04-19,16200.00,37.2,E-25,3400.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-04-15,2026-05-14,4100.00,,E-19,870.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-04-15,2026-05-14,2050.00,3.6,E-19,440.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-04-18,2026-05-17,8500.00,15.1,E-20,1800.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-04-20,2026-05-19,15000.00,34.0,E-25,3100.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-05-15,2026-06-14,4600.00,8.1,E-19,980.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-05-15,2026-06-14,2300.00,4.0,E-19,490.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-05-18,2026-06-17,9100.00,,E-20,1920.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-05-20,2026-06-19,17100.00,39.5,E-25,3600.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-06-15,2026-07-14,4900.00,8.6,E-19,1040.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-06-15,2026-07-14,2450.00,4.3,E-19,520.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-06-18,2026-07-17,9400.00,16.5,E-20,1990.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-06-20,2026-07-19,18300.00,,E-25,3850.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-07-15,2026-08-14,5200.00,9.1,E-19,1100.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-07-15,2026-08-14,2600.00,4.5,E-19,550.00,EUR
ACC-10002,METER-LOG-01,Frankfurt Logistics,2026-07-18,2026-08-17,9800.00,17.2,E-20,2070.00,EUR
ACC-10003,METER-MFG-01,Hamburg Factory,2026-07-20,2026-08-19,19500.00,42.8,E-25,4100.00,EUR
ACC-10001,METER-HQ-01,Munich Headquarters,2026-08-15,2026-09-14,4700.00,,E-19,1000.00,EUR
ACC-10001,METER-HQ-02,Munich Headquarters,2026-08-15,2026-09-14,2350.00,4.1,E-19,500.00,EUR
