trip_id,employee_id,travel_date,origin,destination,travel_mode,distance_km,airline_class,hotel_nights,hotel_city,cost,currency
TRIP-1001,EMP-012,2026-03-01,MUC,LHR,FLIGHT,,BUSINESS,,,450.00,EUR
TRIP-1002,EMP-012,2026-03-01,,,HOTEL,,3,,London,480.00,GBP
TRIP-1003,EMP-012,2026-03-04,,,TAXI,,,15.00,,30.00,GBP
TRIP-1004,EMP-012,2026-03-04,LHR,MUC,FLIGHT,,BUSINESS,,,450.00,EUR
TRIP-1005,EMP-035,2026-03-05,FRA,JFK,FLIGHT,6200.00,ECONOMY,,,850.00,EUR
TRIP-1006,EMP-035,2026-03-05,,,HOTEL,,5,,New York,1200.00,USD
TRIP-1007,EMP-035,2026-03-05,,,CAR_RENTAL,120.00,,,New York,250.00,USD
TRIP-1008,EMP-035,2026-03-10,JFK,FRA,FLIGHT,6200.00,ECONOMY,,,850.00,EUR
TRIP-1009,EMP-088,2026-03-12,MUC,CDG,FLIGHT,,ECONOMY,,,180.00,EUR
TRIP-1010,EMP-088,2026-03-12,,,HOTEL,,2,,Paris,380.00,EUR
TRIP-1011,EMP-088,2026-03-14,CDG,MUC,FLIGHT,,ECONOMY,,,185.00,EUR
TRIP-1012,EMP-102,2026-03-15,SFO,JFK,FLIGHT,,FIRST,,,1600.00,USD
TRIP-1013,EMP-102,2026-03-15,,,HOTEL,,4,,New York,1800.00,USD
TRIP-1014,EMP-102,2026-03-19,JFK,SFO,FLIGHT,,FIRST,,,1650.00,USD
TRIP-1015,EMP-155,2026-03-20,FRA,SIN,FLIGHT,10200.00,BUSINESS,,,2800.00,EUR
TRIP-1016,EMP-155,2026-03-20,,,HOTEL,,6,,Singapore,1500.00,SGD
TRIP-1017,EMP-155,2026-03-26,SIN,FRA,FLIGHT,10200.00,BUSINESS,,,2900.00,EUR
TRIP-1018,EMP-201,2026-04-01,BLR,DEL,FLIGHT,,ECONOMY,,,120.00,INR
TRIP-1019,EMP-201,2026-04-01,,,HOTEL,,3,,New Delhi,180.00,USD
TRIP-1020,EMP-201,2026-04-04,DEL,BLR,FLIGHT,,ECONOMY,,,120.00,INR
TRIP-1021,EMP-204,2026-04-05,BOM,DXB,FLIGHT,,BUSINESS,,,650.00,USD
TRIP-1022,EMP-204,2026-04-05,,,HOTEL,,3,,Dubai,800.00,USD
TRIP-1023,EMP-204,2026-04-08,DXB,BOM,FLIGHT,,BUSINESS,,,680.00,USD
TRIP-1024,EMP-012,2026-04-12,MUC,FRA,FLIGHT,,ECONOMY,,,110.00,EUR
TRIP-1025,EMP-012,2026-04-12,,,HOTEL,,2,,Frankfurt,220.00,EUR
TRIP-1026,EMP-012,2026-04-14,FRA,MUC,FLIGHT,,ECONOMY,,,115.00,EUR
TRIP-1027,EMP-304,2026-04-15,LHR,JFK,FLIGHT,,BUSINESS,,,1850.00,GBP
TRIP-1028,EMP-304,2026-04-15,,,HOTEL,,5,,New York,1500.00,USD
TRIP-1029,EMP-304,2026-04-20,JFK,LHR,FLIGHT,,BUSINESS,,,1900.00,GBP
TRIP-1030,EMP-035,2026-04-22,FRA,BLR,FLIGHT,7400.00,ECONOMY,,,720.00,EUR
TRIP-1031,EMP-035,2026-04-22,,,HOTEL,,4,,Bengaluru,450.00,USD
TRIP-1032,EMP-035,2026-04-22,,,TAXI,,,35.00,,45.00,USD
TRIP-1033,EMP-035,2026-04-26,BLR,FRA,FLIGHT,7400.00,ECONOMY,,,750.00,EUR
TRIP-1034,EMP-088,2026-05-01,MUC,LHR,FLIGHT,,BUSINESS,,,420.00,EUR
TRIP-1035,EMP-088,2026-05-01,,,HOTEL,,3,,London,460.00,GBP
TRIP-1036,EMP-088,2026-05-04,LHR,MUC,FLIGHT,,BUSINESS,,,425.00,EUR
TRIP-1037,EMP-102,2026-05-05,SFO,FRA,FLIGHT,,BUSINESS,,,2200.00,USD
TRIP-1038,EMP-102,2026-05-05,,,HOTEL,,5,,Frankfurt,950.00,EUR
TRIP-1039,EMP-102,2026-05-10,FRA,SFO,FLIGHT,,BUSINESS,,,2250.00,USD
TRIP-1040,EMP-155,2026-05-12,FRA,HND,FLIGHT,9300.00,ECONOMY,,,980.00,EUR
