Buchungsdatum;Werk;Material;Menge;Meins;Bwart
01.01.2026;1000;B0001;1200.00;L;101
02.01.2026;2000;B0001;250.00;GAL;101
04.01.2026;3000;B0003;1450.00;M3;101
05.01.2026;1000;B0002;85.00;GAL;101
07.01.2026;2000;B0001;450.00;KG;101
10.01.2026;3000;B0001;3200.00;L;101
12.01.2026;1000;B0003;1800.00;M3;101
15.01.2026;2000;B0002;110.00;KG;101
18.01.2026;3000;B0001;520.00;GAL;101
20.01.2026;1000;B0001;980.00;L;101
22.01.2026;2000;B0003;2200.00;M3;101
25.01.2026;3000;B0002;400.00;L;101
28.01.2026;1000;B0001;320.00;GAL;101
31.01.2026;2000;B0001;580.00;KG;101
02.02.2026;3000;B0003;1150.00;M3;101
04.02.2026;1000;B0002;65.00;GAL;101
06.02.2026;2000;B0001;1250.00;L;101
09.02.2026;3000;B0001;480.00;GAL;101
12.02.2026;1000;B0003;1650.00;M3;101
15.02.2026;2000;B0002;300.00;KG;101
18.02.2026;3000;B0001;850.00;L;101
20.02.2026;1000;B0001;390.00;GAL;101
22.02.2026;2000;B0003;2500.00;M3;101
25.02.2026;3000;B0002;550.00;L;101
28.02.2026;1000;B0001;620.00;KG;101
02.03.2026;2000;B0001;1400.00;L;101
05.03.2026;3000;B0003;1900.00;M3;101
08.03.2026;1000;B0002;95.00;GAL;101
11.03.2026;2000;B0001;350.00;KG;101
14.03.2026;3000;B0001;2800.00;L;101
17.03.2026;1000;B0003;1200.00;M3;101
20.03.2026;2000;B0002;150.00;KG;101
23.03.2026;3000;B0001;410.00;GAL;101
26.03.2026;1000;B0001;1100.00;L;101
29.03.2026;2000;B0003;2100.00;M3;101
01.04.2026;3000;B0002;450.00;L;101
04.04.2026;1000;B0001;290.00;GAL;101
07.04.2026;2000;B0001;520.00;KG;101
10.04.2026;3000;B0003;1300.00;M3;101
13.04.2026;1000;B0002;75.00;GAL;101
16.04.2026;2000;B0001;1350.00;L;101
19.04.2026;3000;B0001;420.00;GAL;101
22.04.2026;1000;B0003;1750.00;M3;101
25.04.2026;2000;B0002;280.00;KG;101
28.04.2026;3000;B0001;900.00;L;101
01.05.2026;1000;B0001;350.00;GAL;101
04.05.2026;2000;B0003;2300.00;M3;101
07.05.2026;3000;B0002;600.00;L;101
10.05.2026;1000;B0001;580.00;KG;101
13.05.2026;2000;B0001;1500.00;L;101
